Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
226.82,226.784,227.00433,226.77238
214.16,214.15,214.17014,214.53271
220.4,220.07,220.38632,220.32756
225.16,224.98,225.29083,225.06577
219.71,219.62,219.70473,219.69058
213.805,213.635,213.76967,213.62102
232.57,232.4,232.59206,232.45914
216.66,216.57,216.76656,216.5691
232.69,232.66,232.72055,232.6552
220.69,220.157,220.70428,219.90857
215.68,215.65,215.72754,215.67178
221.55,221.52,221.50226,221.40656
231.1,230.955,230.97842,231.06383
220.84,220.49,220.59692,220.28622
217.02,216.97,216.99472,217.11584
227.36,227.1,227.33632,226.90982
213.98,213.72,213.97656,213.66711
215.33,213.06,214.93399,212.04935
216.85,216.7,216.77461,216.63385
219.406,219.275,219.34435,219.37575
227.39,227.33,227.55353,227.3727
214.39,214.29,214.39651,214.23506
215.99,215.97,216.1214,215.99655
219.58,219.52,219.63657,219.44038
227.83,227.76,227.86803,227.81271
210.96,210.77,210.76707,210.65535
211.17,210.7,211.39926,210.11984
210.71,210.452,210.76382,210.48402
209.14,209.1,209.14975,209.12898
209.94,209.842,210.05275,209.9237
228.73,228.68,228.75107,228.6461
209.96,209.65,210.05063,209.62926
213.87,213.63,213.7912,213.65253
216.89,216.15,217.08727,216.22887
209.14,209.1,209.15225,209.11269
227.6,227.51,227.57019,227.47507
227.84,227.57,227.76958,227.40646
218.32,217.89,218.0933,217.71648
209.59,209.392,209.76584,209.32584
220.66,220.49,220.53763,220.36256
225.52,224.91,225.6054,224.99344
209.12,209.1,209.14996,209.11998
209.23,209.015,209.23952,209.08437
209.3,209.25,209.18454,209.21902
210.74,210.49,211.08514,210.50267
207.84,207.76,207.83821,207.82123
211.4,189.84,212.90552,181.04428
209.75,209.75,209.72333,209.74034
225.18,224.94,225.2937,225.10889
220.95,220.81,220.84988,220.42311
219.68,219.52,219.66261,219.40128
212.025,211.882,212.17603,212.04651
228.56,228.46,228.50702,228.3412
216.26,216.2,216.15924,216.4019
221.6,221.54,221.49971,221.41946
216.07,215.65,215.96638,216.1032
211.3,211.18,211.23337,211.15869
227.37,227.245,227.30933,227.30933
210.66,210.21,210.61568,210.04558
209.14,209.05,209.15785,209.11633
213.6,213.42,213.57245,213.43384
230.92,230.84,230.74954,230.64369
214.29,214.06,214.26227,214.1103
215.94,214.93,215.80765,214.8531
212.92,212.75,212.87021,212.88472
227.12,227.03,227.1252,227.01895
213.0,212.94,213.12541,212.89998
212.177,211.95,212.27304,212.03943
213.7,213.6,213.70125,213.6743
215.84,215.75,215.80676,215.64565
227.39,227.37,227.46921,227.38077
217.02,216.83,217.01392,217.07094
210.19,209.982,210.0869,210.06526
214.02,213.89,214.09789,213.94987
213.9,213.76,213.93077,213.7159
213.99,213.831,214.02327,213.70604
208.91,208.81,208.86688,208.69955
217.08,217.0,217.0288,217.1029
209.93,209.86,209.94577,209.92976
213.37,213.26,213.36876,213.3177
212.68,212.63,212.85228,212.61429
232.03,231.89,232.01947,231.82967
219.4,219.33,219.34825,219.43735
212.56,212.5,212.55841,212.60309
209.42,209.0,209.35638,209.00989
214.2,213.0,214.59088,213.29277
216.31,214.07,216.3588,211.4986
219.84,219.73,219.7686,219.75674
213.22,213.13,213.2231,213.05704
215.64,215.5,215.69289,215.4359
214.46,214.3,214.40498,214.23056
212.55,212.482,212.5549,212.46782
217.37,217.3,217.90704,217.49371
212.845,212.8,212.84503,212.92062
220.925,220.92,221.00629,221.02693
211.02,210.85,211.062,210.9287
225.28,225.196,225.31688,225.21869
212.7,211.61,212.33522,211.72084
213.48,213.2,213.37007,213.20628
207.83,207.78,207.88312,207.76494
228.71,228.68,228.73991,228.6461
209.77,209.615,209.75848,209.69261
214.418,214.34,214.3857,214.33093
227.82,227.65,227.78596,227.759
230.54,230.13,230.43849,229.9378
227.98,227.95,227.9102,227.89363
208.71,208.5,208.47118,208.22105
232.8,232.67,232.8269,232.6827
212.4,211.22,212.05824,211.11284
208.77,208.34,208.8083,208.13844
216.13,216.1,216.17525,215.9982
227.18,227.16,227.18112,227.23528
230.76,230.62,230.67902,230.59871
217.72,217.545,217.96526,217.76917
228.31,228.21,228.28105,228.19807
209.24,209.172,209.23979,209.23163
219.68,219.62,219.67447,219.70161
232.61,232.52,232.6292,232.54305
227.88,226.063,228.25397,226.05098
230.25,230.19,230.18825,230.00313
228.1,228.022,228.19049,228.06184
208.86,208.66,208.74127,208.2513
207.7,207.66,207.66722,207.60895
230.685,230.5,230.72249,230.5084
227.45,227.36,227.51277,227.22026
214.48,214.245,214.38234,214.26512
214.19,213.05,213.94402,212.9835
207.58,207.53,207.62186,207.53519
210.21,210.07,210.27547,210.05692
213.9,213.83,213.83612,213.95404
208.83,208.67,208.88544,208.67595
211.2,211.13,211.20714,211.17093
209.55,209.402,209.53204,209.34233
212.88,212.7,212.86052,212.57152
210.8,210.618,211.02438,210.61177
210.43,210.29,210.48538,210.27493
214.68,214.66,214.65904,214.74548
209.94,209.43,210.03502,209.55473
214.09,214.01,214.6775,214.08951
212.21,212.045,211.95706,212.08948
232.12,231.93,232.13412,231.98608
212.58,212.5,212.57323,212.60234
214.46,214.4,214.3782,214.36313
213.935,213.81,213.90077,213.6612
209.36,209.35,209.32219,209.35742
212.79,212.375,212.66281,212.35765
219.88,219.58,219.59628,218.80472
215.92,215.7,215.79834,215.59814
223.82,223.601,223.56801,223.03351
214.54,212.54,213.8907,212.65097
209.79,209.61,209.90712,209.5665
219.7,219.67,219.70024,219.69585
214.76,214.7,214.66592,214.73798
214.08,213.645,214.09642,213.65025
228.79,228.652,228.75731,228.61897
209.85,209.78,209.88287,209.72809
225.32,225.21,225.34457,225.18388
211.39,211.37,211.44533,211.16397
206.99,206.9,207.21428,207.11246
209.17,209.11,209.34439,209.12589
227.668,227.59,227.58499,227.47307
217.1,216.67,217.0904,216.98857
230.18,229.61,230.18892,229.7709
213.58,213.035,213.16872,212.37413
219.56,219.51,219.65005,219.41995
213.2,213.085,213.11835,213.06679
227.88,227.78,227.90135,227.78413
214.74,214.72,214.8511,214.91414
209.13,209.11,209.16566,209.11046
219.68,219.35,219.73123,219.58214
211.47,211.25,211.47464,211.29443
226.75,226.631,226.6895,226.74901
218.32,218.22,218.25366,218.21555
228.35,228.31,228.36359,228.31328
227.13,227.07,227.06427,227.065
229.66,229.62,229.62961,229.53189
214.38,214.3,214.37611,214.23466
227.58,227.48,227.5753,227.47318
214.25,214.2,214.24605,214.22961
208.32,208.152,208.33972,208.12148
216.645,216.49,216.78021,216.40033
207.59,207.3,207.70845,207.54068
219.369,219.26,219.3563,219.09102
225.375,225.3,225.38747,225.35413
227.949,227.85,227.9014,227.90082
209.53,209.35,209.38933,209.27516
217.37,216.52,216.93118,215.91934
213.2,212.95,213.14464,212.849
228.34,228.25,228.30241,228.26662
209.8,209.67,209.78058,209.3771
216.72,216.55,216.6402,216.64267
210.09,209.97,210.03958,209.712
220.8,220.58,220.55879,220.35402
212.45,211.64,212.54425,211.61108
231.15,230.99,231.24559,231.10693
226.539,226.34,226.52142,226.5728
231.9,231.825,231.94153,231.86911
207.78,207.75,207.84583,207.7598
227.8,227.7,227.75682,227.78891
213.13,213.05,213.1292,213.11176
214.21,214.125,214.22365,214.14816
224.825,224.73,224.8966,224.90349
220.31,219.845,220.34186,219.97408
216.6,214.16,216.47263,215.0097
211.95,209.5,211.86478,209.78893
232.66,232.582,232.65817,232.62685
207.6,207.53,207.62267,207.52884
210.15,209.97,210.12743,209.91373
217.07,217.02,217.03506,217.12694
227.77,227.65,227.66885,227.80754
211.2,210.74,210.8841,210.63867
219.7,219.61,219.65706,219.69354
211.18,210.02,211.13455,209.97847
217.44,217.36,217.90546,217.48532
212.54,212.415,212.5631,212.44116
219.5,219.45,219.64655,219.11562
231.755,231.61,231.75804,231.58966
214.25,214.12,214.25128,214.14021
212.29,212.07,212.32399,212.10211
214.1,214.07,214.10251,214.12175
227.79,227.66,227.77571,227.78006
210.29,210.025,210.17676,210.09155
214.7,214.66,214.66101,214.73798
230.32,230.183,230.28592,230.56235
213.58,213.341,213.72942,213.37108
217.78,217.67,217.9582,217.73637
209.19,209.1,209.15416,209.10999
213.85,213.75,213.84573,213.7054
228.5,228.068,228.58257,228.00165
216.1,215.95,215.87558,215.65079
232.5,232.4,232.4624,232.38635
214.19,213.14,214.20555,213.18437
230.279,230.221,230.25491,230.4348
225.14,225.08,225.26544,225.0881
212.51,212.29,212.3536,212.08969
228.71,228.7,228.73384,228.6549
214.2,214.12,214.20776,214.15166
208.39,208.27,208.3194,208.10896
219.65,219.56,219.69104,219.65984
217.08,216.32,217.19156,216.77357
232.01,231.705,231.99123,231.5422
214.14,214.05,214.16312,214.11147
216.9,215.92,216.82137,216.17914
229.9,229.3,229.52979,229.16058
207.48,207.42,207.46494,207.39113
228.625,227.99,228.56134,227.87419
209.71,209.66,209.7097,209.58243
210.83,210.32,210.92262,210.57866
228.22,228.17,228.28719,228.21893
228.16,227.9,228.12785,227.85593
215.81,215.64,215.7354,215.61691
207.5,207.42,207.35811,207.32674
209.59,209.55,209.58322,209.54503
