timestamp	volume_1min	vw	open_1min	close_1min	high_1min	low_1min	t	transactions_1min	volume_5min	open_5min	close_5min	high_5min	low_5min	transactions_5min	volume_15min	open_15min	close_15min	high_15min	low_15min	transactions_15min	volume_30min	open_30min	close_30min	high_30min	low_30min	transactions_30min	volume_60min	open_60min	close_60min	high_60min	low_60min	transactions_60min
2024-09-25 14:50:00	217771.0	570.9493	570.8	571.04	571.12	570.6	1727275800000	1163.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:51:00	68528.0	571.1433	571.0478	571.16	571.24	571.01	1727275860000	847.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:52:00	67657.0	571.0825	571.16	571.195	571.2	570.93	1727275920000	875.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:53:00	68195.0	571.2085	571.19	571.17	571.28	571.11	1727275980000	812.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:54:00	51809.0	571.228	571.18	571.18	571.315	571.14	1727276040000	757.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:55:00	32432.0	571.2034	571.16	571.26	571.28	571.14	1727276100000	556.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:56:00	32843.0	571.2897	571.27	571.25	571.33	571.23	1727276160000	515.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:57:00	50343.0	571.1987	571.26	571.1402	571.31	571.12	1727276220000	686.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:58:00	29742.0	571.1478	571.13	571.16	571.22	571.06	1727276280000	531.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2024-09-25 14:59:00	30017.0	571.2344	571.1401	571.23	571.28	571.14	1727276340000	507.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
