timestamp,1min_open,1min_high,1min_low,1min_close,1min_volume,Upward_Breakout,Downward_Breakout,Reversal_Breakout,Resistance_Breakout,Support_Breakout
2024-07-29 05:37:00,545.86,545.89,545.85,545.89,2193,False,False,False,True,False
2024-07-29 06:07:00,546.37,546.48,546.37,546.47,325,False,False,False,True,False
2024-07-29 06:25:00,546.6,546.71,546.59,546.71,160,False,False,False,True,False
2024-07-29 06:31:00,546.73,546.74,546.72,546.74,759,False,False,False,True,False
2024-07-29 07:03:00,546.39,546.41,545.8,546.26,191693,False,False,False,False,True
2024-07-29 07:37:00,547.0,547.06,546.96,547.06,3683,False,False,False,True,False
2024-07-29 08:30:00,547.09,547.4,547.08,547.38,5112,False,False,False,True,False
2024-07-29 08:33:00,547.46,547.7,547.43,547.7,12923,False,False,False,True,False
2024-07-29 08:37:00,547.65,547.92,547.64,547.795,11443,False,False,False,True,False
2024-07-29 09:03:00,546.6,546.64,546.45,546.45,7847,False,False,False,False,True
2024-07-29 09:04:00,546.44,546.47,546.36,546.44,17245,False,False,False,False,True
2024-07-29 09:06:00,546.46,546.46,546.3,546.3,15698,False,False,False,False,True
2024-07-29 09:07:00,546.3,546.32,546.19,546.25,21620,False,False,False,False,True
2024-07-29 09:09:00,546.32,546.32,546.2,546.2,13310,False,False,False,False,True
2024-07-29 09:12:00,546.3,546.3,546.01,546.03,28757,False,False,False,False,True
2024-07-29 09:30:00,546.02,546.25,545.34,545.347,1085591,False,False,False,False,True
2024-07-29 09:31:00,545.35,545.37,544.92,544.935,154109,False,False,False,False,True
2024-07-29 11:07:00,544.08,544.12,543.84,543.93,307613,False,False,False,False,True
2024-07-29 11:31:00,543.59,543.7,543.3,543.3,114533,False,False,False,False,True
2024-07-29 11:33:00,543.29,543.31,542.92,543.12,115358,False,False,False,False,True
2024-07-29 11:34:00,543.116,543.165,542.72,542.99,99866,False,False,False,False,True
2024-07-29 11:50:00,545.07,545.17,544.93,545.07,143638,False,False,False,True,False
2024-07-29 12:05:00,545.91,546.24,545.11,546.22,108836,False,False,False,True,False
2024-07-29 13:12:00,546.6,546.83,546.55,546.79,81850,False,False,False,True,False
2024-07-29 13:13:00,546.8,547.05,546.8,546.84,124493,False,False,False,True,False
2024-07-29 13:26:00,546.095,546.16,545.65,545.74,94976,False,False,False,False,True
2024-07-29 13:29:00,545.73,545.73,545.3,545.31,91003,False,False,False,False,True
2024-07-29 13:30:00,545.32,545.408,544.97,545.15,110651,False,False,False,False,True
2024-07-29 14:15:00,545.15,545.19,544.62,544.64,127047,False,False,False,False,True
2024-07-29 14:31:00,544.84,544.86,544.5,544.55,84084,False,False,False,False,True
2024-07-29 15:01:00,545.13,545.43,545.13,545.36,103823,False,False,False,True,False
2024-07-29 15:36:00,545.61,545.91,545.6,545.84,123680,False,False,False,True,False
2024-07-29 15:39:00,545.73,545.88,545.653,545.88,208308,False,False,False,True,False
2024-07-29 15:41:00,545.88,546.0,545.86,545.95,150836,False,False,False,True,False
2024-07-29 15:46:00,545.945,545.98,545.86,545.97,134064,False,False,False,True,False
2024-07-29 15:55:00,545.18,545.34,544.84,544.89,451837,False,False,False,False,True
2024-07-29 15:57:00,544.83,544.85,544.53,544.75,368284,False,False,False,False,True
2024-07-29 15:58:00,544.75,544.81,544.58,544.64,575274,False,False,False,False,True
2024-07-29 18:00:00,544.85,545.31,544.85,545.27,17706,False,False,False,True,False
2024-07-29 19:07:00,544.76,544.77,544.38,544.4,3911,False,False,False,False,True
2024-07-29 19:08:00,544.36,544.36,544.11,544.2,6536,False,False,False,False,True
2024-07-29 19:09:00,544.16,544.16,543.95,543.98,17173,False,False,False,False,True
2024-07-29 19:41:00,543.94,543.94,543.74,543.77,6482,False,False,False,False,True
2024-07-29 19:42:00,543.75,543.75,543.53,543.57,1168,False,False,False,False,True
2024-07-29 19:44:00,543.55,543.55,543.45,543.47,4728,False,False,False,False,True
2024-07-29 20:00:00,544.76,544.76,544.76,544.76,1097195,False,False,False,True,False
2024-07-30 06:28:00,545.87,545.96,545.82,545.9,2029,False,False,False,True,False
2024-07-30 06:30:00,546.0,546.03,545.91,545.92,5218,False,False,False,True,False
2024-07-30 06:40:00,546.0,546.09,546.0,546.09,1511,False,False,False,True,False
2024-07-30 06:45:00,546.07,546.1,546.07,546.1,944,False,False,False,True,False
2024-07-30 06:54:00,546.1,546.11,546.1,546.11,777,False,False,False,True,False
2024-07-30 07:44:00,546.1,546.12,546.07,546.12,4754,False,False,False,True,False
2024-07-30 08:01:00,544.06,546.12,544.06,544.76,7763,False,True,False,False,True
2024-07-30 08:29:00,545.75,545.77,544.76,544.76,471,False,True,False,False,False
2024-07-30 09:17:00,546.04,546.22,546.0,546.15,6993,False,False,False,True,False
2024-07-30 09:28:00,546.13,546.26,546.11,546.225,25481,False,False,False,True,False
